Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
PC5008,Velocity Men Hair Styling Gel (50g),90,78,42.9,1.59,,,,,,,,,,,,,,,,,,,,
PC5004,Velocity Men Energising Shower Gel (150ml),240,209,114.95,4.26,,,,,,,,,,,,,,,,,,,,
PC5007,Velocity Men Fortifying Shampoo (150ml),193,165,90.75,3.36,,,,,,,,,,,,,,,,,,,,
PC5001,Velocity Men After Shave Splash (100ml),215,187,102.85,3.81,,,,,,,,,,,,,,,,,,,,
PC5003,Velocity Men Deodorising Body Talc (100g),72,60,33,1.22,,,,,,,,,,,,,,,,,,,,
PC5010,Velocity Men Premium Shaving Cream (70g),115,100,55,2.04,,,,,,,,,,,,,,,,,,,,
PC5002,Velocity Men Body Spray (125ml / 88g),199,170,85,3.15,,,,,,,,,,,,,,,,,,,,
PC6032,Velocity Men Fortifying Hair Conditioner (100ml),176,153,84.15,3.12,,,,,,,,,,,,,,,,,,,,
PC5009,Velocity Men Oil Clear Face Wash (50g),129,110,66,2.44,,,,,,,,,,,,,,,,,,,,
PC5005,Velocity Men Fairness Cream (50g),140,121,72.6,2.69,,,,,,,,,,,,,,,,,,,,
PC6035,Velocity Men Cool Menthol Shampoo (150ml),193,165,90.75,3.36,,,,,,,,,,,,,,,,,,,,
PC5012,Velocity Men Twin Blade Plus Readyshaver (5 N),130,120,48,1.78,,,,,,,,,,,,,,,,,,,,
PC5014,Velocity Men 7 in 1 Beard Growth Oil (30ml),340,296,163,6.03,,,,,,,,,,,,,,,,,,,,
PC6049,Sanitary Napkin - Regular 245 mm (15 N),225,205,112.75,4.18,,,,,,,,,,,,,,,,,,,,
PC6050,Sanitary Napkin - Large 290 mm (15 N),245,225,123.75,4.58,,,,,,,,,,,,,,,,,,,,
PC6051,Sanitary Napkin - X-Large 320 mm (15 N),265,240,132,4.89,,,,,,,,,,,,,,,,,,,,
HL2031,Large (1Navy Blue Mask+1 Black Mask) 2 N,230,199,99.5,3.69,,,,,,,,,,,,,,,,,,,,
HL2032,Medium (1Navy Blue Mask+1 Black Mask) 2 N,230,199,99.5,3.69,,,,,,,,,,,,,,,,,,,,
HL2036,Extra Comfort (Black Mask) 1 N,190,165,83,3.07,,,,,,,,,,,,,,,,,,,,
HL2033,Large - Black Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2034,Medium - Black Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
HL2035,Medium - Pink Color (2 N),250,215,108,4,,,,,,,,,,,,,,,,,,,,
